student_name,branch,year,cgpa,coding_skills,dsa_score,ml_knowledge,frontend_skill,backend_skill,database_skill,cloud_computing,devops_skill,cybersecurity_skill,embedded_c,microcontrollers,arduino_skill,raspberry_pi_skill,rtos_knowledge,embedded_linux,firmware_development,device_drivers,digital_electronics,analog_electronics,pcb_design,circuit_design,vlsi_knowledge,verilog_vhdl,fpga_skill,iot_knowledge,sensor_integration,wireless_protocols,mqtt_protocol,edge_computing,robotics_skill,computer_vision,control_systems,ros_knowledge,communication_skills,leadership_score,problem_solving,teamwork_score,presentation_skill,innovation_score,projects_count,internships,preferred_role
Rahul R. Saha,ECE,1,6.67,81,57,54,0,24,75,56,0,7,21,19,37,23,26,26,55,34,16,2,36,15,35,16,24,32,61,24,24,16,0,70,0,23,53,69,48,76,21,37,5,1,ML Engineer
Nandini K. Krishnamurthy,CSBS,4,6.71,57,48,31,65,72,76,62,53,40,42,24,38,57,42,17,38,8,28,21,43,26,27,21,41,36,23,14,24,3,61,12,28,24,44,76,37,74,35,40,7,2,Full Stack Developer
Karthik M. Desai,Civil,3,7.11,85,14,0,33,23,42,0,30,18,54,29,17,29,40,25,46,48,81,87,81,79,83,71,74,37,33,11,12,20,19,30,57,28,62,69,44,60,12,33,5,2,VLSI Engineer
Dhruv C. Bhat,AI,3,7.47,71,53,25,58,50,91,39,55,2,31,39,43,0,11,0,28,25,37,30,5,5,49,39,26,9,24,11,18,12,17,13,39,18,4,67,27,50,5,8,6,1,Full Stack Developer
Aditi G. Nair,IT,2,7.61,100,88,28,87,70,87,72,54,19,42,25,33,25,42,0,7,25,15,42,11,54,17,24,29,8,11,0,23,40,17,21,3,14,52,36,84,71,42,49,4,0,Full Stack Developer
Sakshi L. Chawla,IT,4,7.43,100,40,30,22,9,21,39,35,30,70,84,47,16,61,34,96,50,79,68,57,76,24,3,39,6,9,5,5,24,20,3,28,23,51,42,49,68,16,35,9,4,Embedded Engineer
Uday C. Shetty,Data Science,4,7.21,53,51,65,32,6,73,54,3,36,39,10,19,15,27,19,21,0,36,29,37,12,27,16,19,35,14,29,25,57,6,84,14,13,46,46,44,76,26,31,6,2,ML Engineer
Kartikeya L. Kompella,AI&DS,3,6.63,71,64,59,0,22,66,51,7,24,22,6,24,18,7,45,22,13,33,8,31,34,19,21,35,29,8,15,8,38,12,67,17,34,80,73,47,60,35,24,4,1,ML Engineer
Harish D. Murthy,Data Science,1,6.88,100,81,12,70,96,66,41,50,26,0,39,15,28,28,9,6,9,24,9,26,6,23,40,43,40,23,39,32,18,7,28,22,20,53,69,61,57,49,36,2,1,Full Stack Developer
Sanjana S. Hegde,IT,2,7.3,92,74,13,24,63,60,35,61,71,0,42,33,30,11,0,18,31,50,28,6,24,12,35,0,14,20,22,20,11,9,13,0,18,84,42,62,60,39,17,5,0,Cybersecurity Analyst
Harish S. Prasad,AI&DS,3,6.6,64,73,32,26,86,70,75,62,70,3,21,50,16,12,11,46,28,20,24,14,0,0,25,36,0,18,5,8,23,47,32,26,28,54,69,63,65,32,19,4,3,Cybersecurity Analyst
Nandini D. Menon,Data Science,4,7.19,57,28,0,7,54,26,27,24,34,89,82,7,41,13,2,14,29,34,26,42,11,20,27,29,44,58,26,28,0,94,81,68,72,72,66,35,79,61,31,8,3,Robotics Engineer
Divya S. Shah,CSE,4,7.08,80,8,34,14,5,26,13,22,23,38,37,31,28,14,0,17,50,100,63,53,61,65,82,66,26,28,21,28,5,0,36,58,9,32,93,19,76,0,1,8,2,VLSI Engineer
Uday B. Pillai,ECE,1,7.43,72,36,27,34,15,18,33,39,33,96,32,65,11,5,27,19,24,14,1,22,32,25,2,0,59,51,51,25,13,72,89,96,75,84,55,54,47,36,13,1,0,Robotics Engineer
Veda C. Murthy,IT,2,6.34,71,67,17,26,63,58,61,40,71,18,21,16,1,34,32,13,11,21,15,7,23,42,42,0,0,4,13,37,6,0,0,47,18,52,73,54,48,22,32,6,1,Cybersecurity Analyst
Vihaan A. Satyanarayana,Mechanical,1,6.73,78,1,29,26,99,67,74,50,60,32,15,29,17,19,0,0,15,33,32,16,11,27,33,14,49,0,35,45,8,18,14,3,18,64,85,15,71,44,21,3,1,Cloud Engineer
Sowmya G. Verma,AI,3,6.84,78,83,26,23,80,62,57,32,65,6,39,32,2,31,17,43,0,28,28,14,12,23,17,43,32,18,24,20,3,24,23,0,19,45,64,61,66,11,33,4,2,Backend Developer
Charitha T. Krishnamurthy,Data Science,3,6.74,86,95,88,30,48,74,47,10,3,3,29,8,23,27,19,18,14,43,24,31,19,42,2,47,25,24,35,11,38,43,83,13,49,62,52,63,87,48,32,7,1,ML Engineer
Keerthana L. Ansari,Civil,1,6.89,61,64,9,58,69,75,49,19,3,5,26,14,0,14,11,16,10,32,24,23,5,33,51,0,23,0,48,0,29,17,49,29,37,59,57,67,93,39,24,3,0,Full Stack Developer
Sai S. Khanna,Mechanical,3,6.97,74,93,22,27,88,74,31,62,74,24,0,41,37,1,47,25,11,0,39,9,34,9,21,40,19,26,34,14,29,0,37,51,31,73,48,69,49,29,47,5,1,Cybersecurity Analyst
Pranav G. Ahmed,IT,3,7.24,64,64,12,13,64,52,51,62,33,0,17,13,24,17,42,48,35,25,19,35,28,36,12,59,28,22,14,44,7,11,47,0,3,51,66,42,70,29,28,5,2,Backend Developer
Niharika Y. Varma,CSBS,1,6.83,60,2,25,10,19,33,22,17,13,38,11,21,5,0,11,0,29,62,63,42,72,68,84,72,27,11,12,15,16,27,44,51,0,46,42,2,69,0,0,0,1,VLSI Engineer
Rohan P. Koneru,Mechanical,1,6.43,50,25,25,9,55,28,25,1,47,71,36,52,1,30,27,18,23,21,32,16,26,51,12,8,46,52,13,26,43,82,77,83,87,66,55,29,70,34,31,2,2,Robotics Engineer
Tanvi T. Kulkarni,AI&DS,4,7.53,82,46,40,26,37,28,20,35,22,52,24,28,42,15,6,57,35,70,76,52,69,82,66,82,32,3,13,40,2,19,29,44,32,64,66,39,80,47,31,7,2,VLSI Engineer
Ishaan S. Sheikh,EEE,1,7.11,59,48,2,25,5,1,16,40,35,88,73,48,28,58,62,76,62,95,63,71,83,0,48,42,22,12,49,31,26,22,12,23,13,43,33,52,66,40,21,3,1,Embedded Engineer
Shruthi N. Bhatia,Mechanical,1,6.75,81,34,0,0,16,4,22,16,38,70,68,36,53,0,66,41,0,39,8,22,36,29,17,14,89,100,75,65,42,17,33,26,0,65,63,34,100,30,23,1,1,IoT Engineer
Samhita A. Bose,CSBS,1,7.29,90,71,23,79,71,95,41,82,23,24,24,4,24,19,17,11,28,32,36,7,37,41,9,11,40,0,8,15,10,47,33,0,25,48,80,72,73,12,40,5,0,Full Stack Developer
Deepika G. Prasad,CSBS,3,6.45,66,81,36,9,82,40,32,43,75,23,21,0,24,0,20,12,19,20,49,9,3,38,5,51,9,49,25,2,11,31,33,5,38,65,63,57,79,44,23,6,3,Cybersecurity Analyst
Sanjay A. Singh,IT,2,7.14,93,76,0,48,71,75,47,27,89,14,37,0,22,41,15,40,5,28,42,40,19,37,15,10,0,24,33,23,13,36,19,16,38,56,39,65,62,18,39,4,2,Cybersecurity Analyst
Aditi J. Paul,Mechanical,2,6.49,52,74,63,7,21,59,22,22,21,19,33,40,15,16,3,27,23,55,13,4,23,21,19,11,6,35,11,19,13,24,71,17,23,67,24,60,45,43,54,4,4,ML Engineer
Uday Y. Shah,EEE,3,6.71,71,6,9,27,0,31,13,30,19,67,37,47,34,44,15,20,23,12,8,20,28,0,12,32,59,42,48,0,42,74,65,64,46,75,90,11,48,29,17,6,2,Robotics Engineer
Amrita C. Nayak,Data Science,3,7.02,56,78,72,39,33,98,48,38,25,29,20,21,31,37,13,11,2,30,29,32,24,45,51,27,23,17,9,4,55,14,77,18,38,59,80,44,46,25,41,5,1,ML Engineer
Rhea H. Rao,ECE,4,7.45,69,12,24,18,40,28,50,0,35,79,67,33,10,25,19,39,13,0,46,17,0,2,21,20,48,45,51,27,29,92,84,91,82,57,69,16,55,30,30,4,3,Robotics Engineer
Arjun T. Chowdary,AI,4,7.31,71,11,34,23,40,30,19,32,35,51,19,13,51,23,35,20,64,97,88,47,99,90,93,88,38,24,31,55,49,32,35,38,30,61,73,37,63,45,47,7,3,VLSI Engineer
Gayathri R. Ansari,Civil,2,7.24,75,28,20,24,0,15,20,34,5,74,65,59,0,9,21,20,18,9,8,17,21,26,16,19,36,59,42,21,23,69,88,57,68,68,53,29,21,40,27,4,0,Robotics Engineer
Deepika M. Chatterjee,Mechanical,4,7.14,76,46,25,40,31,14,24,31,26,64,61,65,24,2,14,23,0,0,18,23,10,5,10,12,50,53,12,22,35,57,66,61,52,55,36,34,53,38,21,7,3,Robotics Engineer
Kartikeya S. Venkatesh,Data Science,3,7.66,70,78,27,13,63,86,38,66,69,31,25,16,21,0,10,32,26,28,1,24,34,29,15,34,34,23,66,36,47,6,18,22,24,60,77,70,85,11,56,6,2,Cybersecurity Analyst
Rahul H. Rao,Civil,2,6.93,88,87,38,67,74,73,55,52,43,13,13,34,34,16,18,7,21,12,0,5,18,17,11,46,47,6,60,37,50,18,26,48,6,61,35,73,73,46,37,3,2,Full Stack Developer
Harish M. Ahmed,IT,4,7.16,55,42,27,9,86,58,45,70,54,42,17,14,14,0,1,35,16,0,31,30,19,8,20,30,0,47,10,18,48,37,16,0,29,33,80,38,55,19,26,8,1,Backend Developer
Gayathri L. Pawar,Mechanical,1,7.21,100,17,1,41,1,0,18,51,38,74,25,31,32,30,4,43,11,0,18,25,19,31,3,40,27,50,40,22,23,79,45,75,77,29,90,41,65,0,46,4,1,Robotics Engineer
Aparna S. Pillai,CSE,4,6.91,56,81,0,65,61,84,59,53,7,37,13,18,63,18,9,10,18,28,27,19,35,13,13,12,29,0,21,19,40,40,22,40,44,37,83,55,83,18,61,5,3,Full Stack Developer
Anirudh S. Roy,Mechanical,3,7.47,70,27,11,31,20,14,28,30,26,57,73,64,0,7,15,18,0,20,23,39,6,18,21,45,45,63,16,52,34,37,53,63,55,61,68,32,72,35,23,8,1,Robotics Engineer
Manish G. Das,Mechanical,3,6.73,63,2,45,15,16,17,44,41,11,51,0,16,41,40,18,0,43,73,74,54,78,55,88,78,4,33,21,13,24,33,23,42,26,36,48,18,58,35,20,5,1,VLSI Engineer
Krishna C. Arora,AI,4,7.29,80,18,13,26,26,22,40,16,41,100,39,51,37,0,49,26,5,37,23,42,26,29,42,10,67,77,23,44,8,66,79,100,63,59,88,47,70,32,36,9,4,Robotics Engineer
Aparna V. Rao,Civil,3,6.83,75,33,42,23,26,26,23,0,7,78,73,54,32,77,49,65,62,84,65,46,81,61,32,14,28,36,35,5,1,27,8,26,30,72,42,27,64,13,17,7,1,Embedded Engineer
Sagar D. Menon,Data Science,3,6.36,59,81,41,4,24,65,43,43,0,17,29,0,2,27,32,18,22,0,26,39,7,27,0,37,0,18,4,19,12,24,68,35,66,45,38,62,67,14,23,7,2,ML Engineer
Saiya N. Chatterjee,CSBS,1,6.97,68,84,83,33,43,100,41,38,33,10,17,28,18,62,32,35,23,26,3,18,34,50,17,35,35,15,4,40,3,10,62,48,25,40,45,58,74,0,36,3,2,ML Engineer
Rahul R. Nair,Civil,3,7.44,80,0,18,12,35,32,11,0,32,66,72,37,38,47,54,52,67,63,47,44,80,15,11,15,0,38,21,23,26,0,23,17,0,73,28,15,64,37,15,8,2,Embedded Engineer
Kritika A. Gadde,EEE,2,7.21,73,100,16,87,98,61,87,56,20,9,34,16,19,26,38,51,6,32,50,43,16,4,46,17,32,43,36,22,32,0,31,37,15,40,58,51,64,27,41,3,0,Full Stack Developer
Madhuri H. Koneru,CSE,2,6.97,86,89,7,34,56,42,61,53,76,27,20,49,3,31,25,35,45,31,3,38,28,12,17,11,10,50,16,29,14,4,12,29,21,92,64,84,70,49,39,3,2,Cybersecurity Analyst
Veda H. Koneru,CSBS,4,6.99,64,91,24,67,87,80,38,34,22,0,0,54,9,24,12,65,25,29,22,28,12,14,19,19,3,29,31,25,24,16,25,14,42,33,96,70,70,0,30,5,2,Full Stack Developer
Pooja Y. Bhat,Civil,3,7.15,76,20,25,22,17,27,11,21,18,60,64,61,60,36,50,0,39,12,56,33,21,12,29,25,19,41,16,16,25,80,52,60,81,72,50,38,100,35,36,7,4,Robotics Engineer
Sachin R. Dutta,ECE,4,7.03,71,75,19,19,70,55,48,60,55,32,4,20,10,24,17,28,0,34,12,27,19,45,23,33,44,15,34,14,9,5,5,8,30,79,91,54,61,59,34,9,2,Backend Developer
Avani D. Iqbal,Civil,4,7.38,93,20,11,18,18,0,25,24,11,71,56,74,63,30,58,41,17,41,43,6,15,24,42,36,36,83,77,100,41,11,58,0,18,54,73,38,75,42,17,7,3,IoT Engineer
Vedant A. Prasad,EEE,1,6.88,69,21,29,2,100,54,74,96,44,27,5,0,7,13,20,6,13,17,19,0,0,52,16,14,37,28,4,27,31,9,29,23,0,73,39,14,61,43,32,3,0,Cloud Engineer
Rahul R. More,CSBS,2,6.72,98,91,23,23,79,75,57,48,46,35,39,8,28,13,28,22,23,47,44,50,11,0,33,13,8,28,42,0,23,41,39,21,43,52,75,85,25,35,45,6,1,Backend Developer
Darshan D. Singh,IT,1,6.59,71,0,44,22,62,48,76,67,64,16,29,31,35,26,30,19,15,26,3,31,22,7,28,10,21,0,26,13,6,38,4,28,31,50,69,10,50,22,22,3,0,Cloud Engineer
Dev K. Mehta,IT,3,7.17,74,77,15,58,100,44,52,79,76,13,16,22,41,44,44,17,15,11,40,5,34,27,45,20,43,15,22,29,4,73,7,28,39,57,85,79,70,21,53,5,2,Cybersecurity Analyst
Gayathri R. Nambiar,Data Science,1,7.19,82,76,95,34,23,68,63,18,3,41,17,0,12,6,45,37,18,40,18,27,10,18,12,22,12,49,32,30,12,29,63,35,44,40,29,55,78,27,40,5,1,ML Engineer
Vishal G. Patel,Civil,2,7.37,71,0,46,22,20,5,0,8,6,32,31,42,58,23,24,22,59,66,69,46,72,61,76,55,5,26,29,51,30,29,35,30,15,58,57,28,100,35,24,4,0,VLSI Engineer
Diya D. Rao,CSBS,3,6.64,37,21,7,14,48,35,86,71,50,0,10,37,6,25,39,40,38,18,40,20,39,26,22,6,16,27,21,21,13,23,0,15,0,63,42,7,63,19,29,5,1,Cloud Engineer
Karthik G. Prasad,CSE,1,6.95,64,10,23,21,31,38,0,17,32,64,52,56,30,54,46,78,54,61,46,50,67,40,17,0,13,20,37,19,5,2,17,14,27,53,60,36,43,22,46,4,2,Embedded Engineer
Tejaswini A. Koneru,Data Science,1,6.88,61,62,34,87,67,88,59,19,35,21,18,24,21,52,22,0,35,41,24,34,3,8,4,47,10,8,24,16,8,12,0,41,0,32,74,43,38,0,42,2,2,Full Stack Developer
Aparna V. Kompella,IT,1,6.79,70,73,27,25,73,43,48,30,83,2,6,28,26,41,5,54,28,32,44,36,19,13,17,6,22,17,27,41,27,25,7,2,28,55,39,57,67,47,29,4,1,Cybersecurity Analyst
Gayathri D. Sharma,AI&DS,3,6.71,76,57,28,61,71,85,51,50,4,27,13,0,27,44,12,24,9,36,0,0,21,17,42,30,26,3,31,43,25,21,22,28,0,63,52,72,84,22,48,5,2,Full Stack Developer
Bhavya K. Khan,Mechanical,4,7.01,51,11,44,0,29,38,17,10,14,71,58,46,12,48,35,48,61,53,59,49,44,28,21,0,32,25,44,27,32,29,21,27,44,100,32,24,69,50,30,8,4,Embedded Engineer
Varsha D. Hegde,Data Science,2,6.71,47,85,75,11,0,30,51,12,22,20,22,21,12,42,23,13,39,1,9,34,21,23,24,15,44,17,10,12,50,7,74,5,20,81,53,42,33,47,43,3,1,ML Engineer
Kritika J. Chakraborty,AI&DS,2,6.88,72,69,58,10,3,92,43,39,35,18,10,37,15,2,36,22,19,13,13,0,38,13,46,34,23,11,18,25,39,27,58,22,32,47,53,54,86,19,30,4,0,ML Engineer
Eesha N. Khan,Civil,4,6.98,84,84,100,15,20,76,57,31,14,15,31,19,39,22,45,11,24,6,15,40,38,21,3,43,10,25,56,24,38,31,100,48,38,50,72,67,56,24,42,7,2,ML Engineer
Lasya D. Ghosh,IT,1,7.17,57,60,27,0,58,29,59,54,64,3,19,12,15,11,0,44,0,0,37,26,26,12,18,10,26,5,30,32,3,3,25,35,1,57,41,40,63,21,20,1,1,Cybersecurity Analyst
Madhuri G. Venkatesh,IT,3,6.77,78,9,27,28,47,61,76,53,33,54,7,6,18,42,40,15,15,10,3,4,19,31,26,0,7,8,58,0,0,1,24,15,33,74,75,27,83,46,20,5,1,Cloud Engineer
Pallavi R. Verma,Civil,3,6.64,69,34,40,28,15,46,7,4,6,78,48,62,33,33,41,43,75,47,26,63,56,17,3,4,3,17,30,1,19,31,10,35,26,60,51,53,70,37,56,5,2,Embedded Engineer
Nikhil V. Verma,Mechanical,1,7.09,57,0,2,15,69,55,58,65,54,22,35,25,25,30,11,33,10,0,1,21,32,21,0,13,29,24,24,5,40,31,17,14,16,80,71,0,86,48,0,1,0,Cloud Engineer
Pranavi H. Prasad,AI&DS,4,7.06,84,83,100,30,0,58,64,0,9,24,12,45,39,1,21,42,22,32,52,20,29,20,34,32,35,50,16,16,27,46,72,21,51,100,76,55,65,41,60,7,3,ML Engineer
Ananya D. Ahmed,AI,1,6.79,57,73,1,0,85,47,45,63,75,11,0,21,29,13,46,18,8,6,38,12,25,16,2,30,11,54,41,34,14,16,0,22,32,60,29,47,55,37,20,4,0,Cybersecurity Analyst
Navya J. Koneru,Civil,2,7.12,74,47,13,63,11,0,21,20,18,66,11,16,51,22,21,15,62,56,39,52,87,64,67,51,40,20,18,16,29,28,30,48,7,81,38,42,49,45,14,4,2,VLSI Engineer
Amrita C. Shetty,Data Science,1,6.7,80,77,29,78,83,88,74,38,17,0,39,24,1,19,27,27,27,26,44,16,31,31,31,2,31,20,24,30,37,20,35,29,11,72,78,63,75,45,51,4,0,Full Stack Developer
Pranavi N. Khanna,IT,1,7.36,63,70,86,27,42,84,48,29,52,20,12,34,48,4,3,14,26,26,31,34,16,11,8,14,46,16,0,29,34,23,65,22,29,77,36,52,68,42,29,5,0,ML Engineer
Aakash N. Khanna,AI,2,6.86,73,97,67,21,35,83,83,7,31,23,46,21,9,9,0,16,21,32,16,25,21,43,0,11,4,21,20,19,0,34,85,26,19,61,38,70,63,32,21,3,2,ML Engineer
Siddharth S. Kompella,Mechanical,1,7.27,88,3,12,24,21,6,0,12,18,52,71,50,53,48,44,83,75,70,59,32,80,16,8,24,7,33,46,1,12,10,21,45,16,42,64,9,76,32,8,5,1,Embedded Engineer
Harish Y. Sinha,CSBS,4,7.4,89,59,23,27,81,61,51,95,78,21,13,28,25,54,21,23,26,34,13,22,35,15,36,41,19,35,32,38,40,59,17,17,46,61,64,50,62,18,33,6,3,Cybersecurity Analyst
Samarth N. Roy,EEE,3,7.2,64,0,16,28,17,21,28,31,25,73,47,33,15,0,45,20,43,33,13,12,31,2,13,13,62,49,42,26,6,69,89,73,83,29,87,22,45,29,25,6,2,Robotics Engineer
Yuvan P. Prasad,CSE,3,7.01,76,79,45,97,83,81,80,47,19,7,48,14,31,28,32,57,14,52,10,45,22,20,39,29,28,11,25,32,36,20,45,59,12,54,66,66,39,24,33,5,1,Full Stack Developer
Vihaan N. Chawla,CSBS,2,6.95,47,68,55,46,14,62,59,21,38,31,46,16,13,18,20,57,25,24,29,44,32,0,30,31,3,18,0,23,21,33,60,23,28,73,43,59,56,65,37,5,2,ML Engineer
Rahul R. Varma,EEE,2,6.6,48,10,49,4,32,30,19,19,8,20,0,13,29,46,16,14,66,64,77,39,59,58,61,46,22,25,26,38,0,46,0,42,8,59,48,17,55,52,0,4,1,VLSI Engineer
Charitha V. Chatterjee,Data Science,2,7.1,88,81,68,25,9,70,43,27,8,15,18,8,16,34,13,23,22,23,32,21,24,32,16,25,6,20,0,9,38,45,75,24,40,37,44,73,24,31,82,5,2,ML Engineer
Madhuri B. Ahmed,AI,2,7.33,57,78,6,65,61,69,55,45,15,12,6,31,43,16,25,17,29,41,15,27,5,19,31,1,26,36,6,38,5,22,3,27,21,83,75,67,46,59,46,4,2,Full Stack Developer
Sandeep Y. Naik,CSBS,2,6.68,80,31,23,9,39,14,33,25,29,73,56,35,26,28,21,20,24,19,35,32,10,37,26,6,43,37,1,1,15,80,79,74,58,84,45,39,75,31,35,7,1,Robotics Engineer
Varsha M. Ansari,CSE,1,6.73,83,89,20,11,83,68,58,80,63,16,15,30,25,2,23,27,37,58,27,26,1,52,14,18,16,18,37,37,10,31,13,18,14,55,55,69,83,34,42,2,0,Backend Developer
Manish N. Chowdary,CSBS,2,7.04,71,67,81,32,33,76,58,0,0,0,29,27,31,18,23,21,20,19,0,20,28,24,26,5,17,22,39,32,20,39,55,18,7,52,72,48,68,47,19,7,1,ML Engineer
Raghav V. More,CSBS,1,6.64,57,20,8,48,35,14,22,23,27,65,85,45,44,4,0,2,16,3,36,13,22,4,47,7,72,45,46,22,26,58,67,74,74,68,86,41,72,26,46,2,1,Robotics Engineer
Raghav P. Reddy,CSE,1,7.06,83,83,3,86,68,87,71,65,39,26,15,25,50,26,15,36,23,16,26,39,5,23,53,22,34,24,63,35,40,25,21,46,28,47,65,60,70,22,51,2,2,Full Stack Developer
Deepika G. Bose,AI&DS,1,6.87,98,66,3,78,44,70,37,34,39,47,60,38,26,44,43,38,6,8,13,7,33,7,11,34,40,9,30,17,12,18,22,26,9,80,24,71,38,40,35,1,0,Full Stack Developer
Varun K. Pawar,Data Science,1,6.78,82,77,38,76,77,60,57,80,26,22,19,26,24,52,0,41,40,32,51,6,14,59,18,19,35,28,21,49,26,15,14,16,21,27,34,61,72,0,29,2,1,Full Stack Developer
Akhil P. Subramanian,CSE,4,7.19,75,20,33,22,36,24,10,44,50,66,11,30,45,15,1,58,73,71,62,55,66,87,70,63,55,15,28,6,19,27,2,64,12,47,63,25,100,32,32,8,4,VLSI Engineer
Amrita N. Nair,CSE,3,7.37,94,60,42,89,62,74,31,60,43,29,11,27,10,31,13,0,15,54,9,48,43,5,55,48,21,35,4,14,20,12,37,16,27,42,71,67,67,11,39,6,2,Full Stack Developer
Darshan S. Koneru,Data Science,3,6.84,61,78,72,32,19,51,78,2,8,31,28,14,26,22,20,32,0,16,12,33,3,27,0,22,13,21,40,19,43,36,70,21,18,64,71,64,56,55,30,7,2,ML Engineer
Ishaan V. Shetty,Data Science,3,7.12,53,18,28,18,88,58,61,73,77,32,15,15,21,5,20,5,25,45,18,23,7,11,15,7,19,0,25,0,14,1,27,10,0,39,63,43,60,14,15,5,1,Cloud Engineer
Lakshmi S. Paul,Data Science,4,7.44,76,83,68,37,28,89,44,0,9,17,17,33,37,0,13,12,40,13,25,0,36,38,11,28,27,21,18,22,36,16,78,40,3,64,58,79,65,47,36,6,3,ML Engineer
Advait U. Naidu,ECE,2,6.54,84,16,14,54,0,18,33,57,4,95,53,57,0,18,15,44,26,13,33,50,19,14,14,19,40,48,29,34,12,75,76,58,79,47,67,4,62,40,29,4,3,Robotics Engineer
Shreya C. Varma,ECE,1,6.69,58,8,33,39,24,19,0,0,12,70,64,61,11,33,25,56,59,56,64,39,72,9,0,14,15,0,33,17,28,23,15,11,41,81,49,25,85,56,10,1,0,Embedded Engineer
Ayush K. Chakraborty,Civil,3,7.09,65,5,21,6,0,0,3,14,13,73,45,33,17,38,13,13,18,14,41,41,11,25,17,33,55,41,30,16,21,85,51,74,50,28,30,37,44,16,41,3,1,Robotics Engineer
Viniya G. Rao,AI,3,7.21,50,77,65,22,23,70,44,18,0,48,4,23,14,5,42,26,37,34,11,25,2,19,2,22,33,34,5,36,44,22,71,26,22,64,49,48,78,44,44,5,1,ML Engineer
Vishal J. Sheikh,Mechanical,3,7.43,77,32,0,15,43,16,25,22,20,69,19,18,13,5,0,18,73,85,74,55,63,60,59,86,9,23,3,43,11,0,34,34,0,73,66,31,79,57,14,6,1,VLSI Engineer
Tarun D. Dutta,Data Science,4,6.86,67,45,61,35,0,64,39,50,32,34,55,41,39,33,21,61,0,34,10,2,10,16,6,33,41,34,27,36,11,11,76,36,17,60,76,35,70,35,21,4,1,ML Engineer
Vaishnavi H. More,IT,3,7.34,65,85,42,76,57,64,62,63,23,13,30,8,21,18,36,71,34,17,35,20,40,45,38,21,20,0,8,37,26,38,20,27,42,73,48,53,80,38,46,4,2,Full Stack Developer
Anirudh U. Sheikh,CSE,1,6.93,41,89,94,19,16,54,43,17,14,36,24,40,30,32,26,30,5,27,19,12,26,25,0,32,17,28,37,33,40,13,66,43,16,48,33,72,67,2,40,2,1,ML Engineer
Aditi J. Pillai,Data Science,3,6.85,76,63,80,17,2,56,54,37,50,32,13,19,32,6,3,15,0,26,22,36,14,0,11,29,42,22,37,18,19,18,75,9,4,59,40,50,48,32,57,2,2,ML Engineer
